Time,"58261.mode, week, where 0 is 2.00, 1 is day, 2 is 1.012, 3 is , 4 is 2.516, 5 is 2.722, 6 is 4.235, 7 is 5.377, 8 is 5.724, 9 is 7.518, 10 is 8.225, 11 is 8.659, 12 is 10.518, 13 is 10.650, 14 is 11.722"
2023-11-09 03:00:00,0 1
2023-11-16 03:00:00,2 3
2023-11-23 03:00:00,4 3
2023-11-30 03:00:00,5 3
2023-12-07 03:00:00,6 3
2023-12-14 03:00:00,7 3
2023-12-21 03:00:00,8 3
2023-12-28 03:00:00,9 3
2024-01-04 03:00:00,10 3
2024-01-11 03:00:00,11 3
2024-01-18 03:00:00,12 3
2024-01-25 03:00:00,13 3
2024-02-01 03:00:00,14 3
