Time,"58261.mode, day, where 0 is 1.48, 1 is min, 2 is 5.03, 3 is , 4 is 3.04, 5 is 4.48, 6 is 3.12, 7 is hour, 8 is 1.6083, 9 is 2.50, 10 is 23.84, 11 is 22.20, 12 is 1.056, 13 is 2.010, 14 is week, 15 is 2.142, 16 is 2.04"
2023-11-09 03:00:00,0 1
2023-11-16 03:00:00,2 3
2023-11-23 03:00:00,4 3
2023-11-30 03:00:00,5 3
2023-12-07 03:00:00,6 7
2023-12-14 03:00:00,8 7
2023-12-21 03:00:00,9 3
2023-12-28 03:00:00,10 7
2024-01-04 03:00:00,11 7
2024-01-11 03:00:00,12 3
2024-01-18 03:00:00,13 14
2024-01-25 03:00:00,15 14
2024-02-01 03:00:00,16 3
