Time,"58261.mode, week, where 0 is 3.05, 1 is day, 2 is 1.011, 3 is , 4 is 2.514, 5 is 2.719, 6 is 3.796, 7 is 5.370, 8 is 6.370, 9 is 7.510, 10 is 7.642, 11 is 9.508, 12 is 10.506, 13 is 11.213, 14 is 11.710"
2023-11-09 03:00:00,0 1
2023-11-16 03:00:00,2 3
2023-11-23 03:00:00,4 3
2023-11-30 03:00:00,5 3
2023-12-07 03:00:00,6 3
2023-12-14 03:00:00,7 3
2023-12-21 03:00:00,8 3
2023-12-28 03:00:00,9 3
2024-01-04 03:00:00,10 3
2024-01-11 03:00:00,11 3
2024-01-18 03:00:00,12 3
2024-01-25 03:00:00,13 3
2024-02-01 03:00:00,14 3
