Time,"58261.mode, where 0 is HELLO, 1 is WORLD, 2 is op., 3 is Tomek,, 4 is KO02od, 5 is =3605.55S/15004.92Ey73', 6 is Via, 7 is Satellite, 8 is Hello, 9 is world,, 10 is hi, 11 is Veronika, 12 is -, 13 is 73,, 14 is Andris, 15 is DL7NDR@JN48, 16 is via, 17 is RIP, 18 is skCUBE, 19 is Don't, 20 is Panic, 21 is panic, 22 is , 23 is .-., 24 is /\, 25 is \n, 26 is _(, 27 is "", 28 is )_, 29 is //\\, 30 is \n(_, 31 is :, 32 is _), 33 is Happy, 34 is ///\\\, 35 is /, 36 is ', 37 is \, 38 is Holidays, 39 is ////\\\\, 40 is (_/^\_), 41 is ][, 42 is It's, 43 is cold, 44 is up, 45 is here"
2023-11-19 03:00:00,0 1 2 3 4
2023-11-21 03:00:00,5 6 7
2023-11-23 03:00:00,8 9 10 11 12 13 14
2023-11-24 03:00:00,8 9 10 11 12 13 14
2023-11-28 03:00:00,15 16 11
2023-12-02 03:00:00,5 6 7
2023-12-04 03:00:00,17 18
2023-12-05 03:00:00,17 18
2023-12-06 03:00:00,17 18
2023-12-07 03:00:00,19 20
2023-12-08 03:00:00,19 20
2023-12-09 03:00:00,19 20
2023-12-10 03:00:00,19 20
2023-12-11 03:00:00,19
2023-12-12 03:00:00,19 21
2023-12-13 03:00:00,19 21
2023-12-14 03:00:00,19 21
2023-12-15 03:00:00,19 21
2023-12-16 03:00:00,19 21
2023-12-17 03:00:00,19 21
2023-12-18 03:00:00,19 21
2023-12-19 03:00:00,19 21
2023-12-20 03:00:00,19 21
2023-12-21 03:00:00,19 21
2023-12-22 03:00:00,19 21
2023-12-23 03:00:00,19 21
2023-12-24 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-25 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-26 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-27 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-28 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-29 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-30 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2023-12-31 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-01 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-02 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-03 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-04 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-05 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-06 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-07 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-08 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-09 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-10 03:00:00,22 23 24 25 26 27 28 29 30 31 32 33 34 25 35 36 37 38 39 25 40 41 25
2024-01-11 03:00:00,42 43 44 45
2024-01-12 03:00:00,42 43 44 45
2024-01-13 03:00:00,42 43 44 45
2024-01-14 03:00:00,42 43 44 45
2024-01-15 03:00:00,42 43 44 45
2024-01-16 03:00:00,42 43 44 45
2024-01-17 03:00:00,42 43 44 45
2024-01-18 03:00:00,42 43 44 45
2024-01-19 03:00:00,42 43 44 45
2024-01-20 03:00:00,42 43 44 45
2024-01-21 03:00:00,42 43 44 45
2024-01-22 03:00:00,42 43 44 45
2024-01-23 03:00:00,42 43 44 45
2024-01-24 03:00:00,42 43 44 45
2024-01-25 03:00:00,42 43 44 45
2024-01-26 03:00:00,42 43 44 45
2024-01-27 03:00:00,42 43 44 45
2024-01-28 03:00:00,42 43 44 45
2024-01-29 03:00:00,42 43 44 45
2024-01-30 03:00:00,42 43 44 45
2024-01-31 03:00:00,42 43 44 45
2024-02-01 03:00:00,42 43 44 45
2024-02-02 03:00:00,42 43 44 45
2024-02-03 03:00:00,42 43 44 45
2024-02-04 03:00:00,5 6 7
2024-02-05 03:00:00,5 6 7
2024-02-06 03:00:00,42 43 44 45
