"Time","MCU","RF Chip","PA"
2023-11-09 03:00:00,-1 °C,-2 °C,-2 °C
2023-11-16 03:00:00,8.6 °C,9.0 °C,8.3 °C
2023-11-23 03:00:00,3.9 °C,2.9 °C,2.4 °C
2023-11-30 03:00:00,4.7 °C,4.4 °C,4.2 °C
2023-12-07 03:00:00,10 °C,9.7 °C,9.1 °C
2023-12-14 03:00:00,15 °C,18 °C,25 °C
2023-12-21 03:00:00,7.0 °C,6.4 °C,5.9 °C
2023-12-28 03:00:00,7.5 °C,6.6 °C,6 °C
2024-01-04 03:00:00,11 °C,11 °C,11 °C
2024-01-11 03:00:00,5.1 °C,4.6 °C,4.4 °C
2024-01-18 03:00:00,8.3 °C,9.2 °C,17 °C
2024-01-25 03:00:00,10 °C,10 °C,10 °C
2024-02-01 03:00:00,0.89 °C,0.67 °C,0.25 °C

