Time,"MCU, where 0 is -2, 1 is °C, 2 is 9.1, 3 is 0.66, 4 is 0, 5 is 0.31, 6 is 8.4, 7 is 7.2, 8 is 0.89, 9 is 0.77, 10 is 15, 11 is 2.0, 12 is 1, 13 is 6.8, 14 is 0.19, 15 is -1, 16 is -3, 17 is 6.2, 18 is 8.6, 19 is 0.080, 20 is 8.7, 21 is 11, 22 is 4.0, 23 is 7.0, 24 is 1.4, 25 is 10, 26 is 7.6, 27 is 0.43, 28 is 5.2, 29 is 8.1, 30 is 0.54, 31 is 8.2, 32 is 13, 33 is 2.3, 34 is 2.7, 35 is 7.5, 36 is 8.5, 37 is 4.9, 38 is 12, 39 is 1.2"
2023-11-12 03:00:00,0 1
2023-11-13 03:00:00,2 1
2023-11-14 03:00:00,3 1
2023-11-15 03:00:00,4 1
2023-11-16 03:00:00,5 1
2023-11-17 03:00:00,6 1
2023-11-18 03:00:00,7 1
2023-11-19 03:00:00,8 1
2023-11-20 03:00:00,5 1
2023-11-21 03:00:00,0 1
2023-11-22 03:00:00,9 1
2023-11-23 03:00:00,10 1
2023-11-24 03:00:00,11 1
2023-11-25 03:00:00,12 1
2023-11-26 03:00:00,13 1
2023-11-27 03:00:00,14 1
2023-11-28 03:00:00,0 1
2023-11-29 03:00:00,15 1
2023-11-30 03:00:00,16 1
2023-12-01 03:00:00,0 1
2023-12-02 03:00:00,17 1
2023-12-03 03:00:00,18 1
2023-12-04 03:00:00,15 1
2023-12-05 03:00:00,4 1
2023-12-06 03:00:00,15 1
2023-12-07 03:00:00,19 1
2023-12-08 03:00:00,20 1
2023-12-09 03:00:00,15 1
2023-12-10 03:00:00,21 1
2023-12-11 03:00:00,22 1
2023-12-12 03:00:00,23 1
2023-12-13 03:00:00,3 1
2023-12-14 03:00:00,24 1
2023-12-15 03:00:00,25 1
2023-12-16 03:00:00,15 1
2023-12-17 03:00:00,26 1
2023-12-18 03:00:00,27 1
2023-12-19 03:00:00,3 1
2023-12-20 03:00:00,28 1
2023-12-21 03:00:00,29 1
2023-12-22 03:00:00,0 1
2023-12-23 03:00:00,15 1
2023-12-24 03:00:00,4 1
2023-12-25 03:00:00,30 1
2023-12-26 03:00:00,15 1
2023-12-27 03:00:00,15 1
2023-12-28 03:00:00,31 1
2023-12-29 03:00:00,15 1
2023-12-30 03:00:00,9 1
2023-12-31 03:00:00,14 1
2024-01-01 03:00:00,19 1
2024-01-02 03:00:00,32 1
2024-01-03 03:00:00,9 1
2024-01-04 03:00:00,16 1
2024-01-05 03:00:00,15 1
2024-01-06 03:00:00,33 1
2024-01-07 03:00:00,16 1
2024-01-08 03:00:00,27 1
2024-01-09 03:00:00,30 1
2024-01-10 03:00:00,34 1
2024-01-11 03:00:00,35 1
2024-01-12 03:00:00,15 1
2024-01-13 03:00:00,4 1
2024-01-14 03:00:00,15 1
2024-01-15 03:00:00,3 1
2024-01-16 03:00:00,13 1
2024-01-17 03:00:00,4 1
2024-01-18 03:00:00,28 1
2024-01-19 03:00:00,12 1
2024-01-20 03:00:00,36 1
2024-01-21 03:00:00,4 1
2024-01-22 03:00:00,5 1
2024-01-23 03:00:00,19 1
2024-01-24 03:00:00,15 1
2024-01-25 03:00:00,0 1
2024-01-26 03:00:00,37 1
2024-01-27 03:00:00,3 1
2024-01-28 03:00:00,4 1
2024-01-29 03:00:00,9 1
2024-01-30 03:00:00,0 1
2024-01-31 03:00:00,30 1
2024-02-01 03:00:00,38 1
2024-02-02 03:00:00,15 1
2024-02-03 03:00:00,15 1
2024-02-04 03:00:00,39 1
2024-02-05 03:00:00,0 1
2024-02-06 03:00:00,4 1
2024-02-07 03:00:00,30 1
