Time,MCU
2023-11-12 03:00:00,-2 °C
2023-11-13 03:00:00,9.1 °C
2023-11-14 03:00:00,0.66 °C
2023-11-15 03:00:00,0 °C
2023-11-16 03:00:00,0.31 °C
2023-11-17 03:00:00,8.4 °C
2023-11-18 03:00:00,7.2 °C
2023-11-19 03:00:00,0.89 °C
2023-11-20 03:00:00,0.31 °C
2023-11-21 03:00:00,-2 °C
2023-11-22 03:00:00,0.77 °C
2023-11-23 03:00:00,15 °C
2023-11-24 03:00:00,2.0 °C
2023-11-25 03:00:00,1 °C
2023-11-26 03:00:00,6.8 °C
2023-11-27 03:00:00,0.19 °C
2023-11-28 03:00:00,-2 °C
2023-11-29 03:00:00,-1 °C
2023-11-30 03:00:00,-3 °C
2023-12-01 03:00:00,-2 °C
2023-12-02 03:00:00,6.2 °C
2023-12-03 03:00:00,8.6 °C
2023-12-04 03:00:00,-1 °C
2023-12-05 03:00:00,0 °C
2023-12-06 03:00:00,-1 °C
2023-12-07 03:00:00,0.080 °C
2023-12-08 03:00:00,8.7 °C
2023-12-09 03:00:00,-1 °C
2023-12-10 03:00:00,11 °C
2023-12-11 03:00:00,4.0 °C
2023-12-12 03:00:00,7.0 °C
2023-12-13 03:00:00,0.66 °C
2023-12-14 03:00:00,1.4 °C
2023-12-15 03:00:00,10 °C
2023-12-16 03:00:00,-1 °C
2023-12-17 03:00:00,7.6 °C
2023-12-18 03:00:00,0.43 °C
2023-12-19 03:00:00,0.66 °C
2023-12-20 03:00:00,5.2 °C
2023-12-21 03:00:00,8.1 °C
2023-12-22 03:00:00,-2 °C
2023-12-23 03:00:00,-1 °C
2023-12-24 03:00:00,0 °C
2023-12-25 03:00:00,0.54 °C
2023-12-26 03:00:00,-1 °C
2023-12-27 03:00:00,-1 °C
2023-12-28 03:00:00,8.2 °C
2023-12-29 03:00:00,-1 °C
2023-12-30 03:00:00,0.77 °C
2023-12-31 03:00:00,0.19 °C
2024-01-01 03:00:00,0.080 °C
2024-01-02 03:00:00,13 °C
2024-01-03 03:00:00,0.77 °C
2024-01-04 03:00:00,-3 °C
2024-01-05 03:00:00,-1 °C
2024-01-06 03:00:00,2.3 °C
2024-01-07 03:00:00,-3 °C
2024-01-08 03:00:00,0.43 °C
2024-01-09 03:00:00,0.54 °C
2024-01-10 03:00:00,2.7 °C
2024-01-11 03:00:00,7.5 °C
2024-01-12 03:00:00,-1 °C
2024-01-13 03:00:00,0 °C
2024-01-14 03:00:00,-1 °C
2024-01-15 03:00:00,0.66 °C
2024-01-16 03:00:00,6.8 °C
2024-01-17 03:00:00,0 °C
2024-01-18 03:00:00,5.2 °C
2024-01-19 03:00:00,1 °C
2024-01-20 03:00:00,8.5 °C
2024-01-21 03:00:00,0 °C
2024-01-22 03:00:00,0.31 °C
2024-01-23 03:00:00,0.080 °C
2024-01-24 03:00:00,-1 °C
2024-01-25 03:00:00,-2 °C
2024-01-26 03:00:00,4.9 °C
2024-01-27 03:00:00,0.66 °C
2024-01-28 03:00:00,0 °C
2024-01-29 03:00:00,0.77 °C
2024-01-30 03:00:00,-2 °C
2024-01-31 03:00:00,0.54 °C
2024-02-01 03:00:00,12 °C
2024-02-02 03:00:00,-1 °C
2024-02-03 03:00:00,-1 °C
2024-02-04 03:00:00,1.2 °C
2024-02-05 03:00:00,-2 °C
2024-02-06 03:00:00,0 °C
2024-02-07 03:00:00,-2 °C
2024-02-08 03:00:00,-2 °C
2024-02-09 03:00:00,2.4 °C
2024-02-10 03:00:00,-2 °C
