Time,"58261.mode, week, where 0 is 2.06, 1 is day, 2 is 1.012, 3 is , 4 is 1.940, 5 is 2.864, 6 is 4.235, 7 is 4.943, 8 is 6.519, 9 is 6.661, 10 is 8.227, 11 is 8.726, 12 is 10.520, 13 is 10.652, 14 is 11.726"
2023-11-09 03:00:00,0 1
2023-11-16 03:00:00,2 3
2023-11-23 03:00:00,4 3
2023-11-30 03:00:00,5 3
2023-12-07 03:00:00,6 3
2023-12-14 03:00:00,7 3
2023-12-21 03:00:00,8 3
2023-12-28 03:00:00,9 3
2024-01-04 03:00:00,10 3
2024-01-11 03:00:00,11 3
2024-01-18 03:00:00,12 3
2024-01-25 03:00:00,13 3
2024-02-01 03:00:00,14 3
